Nº,NOMBRE,ALT,PES,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,POS
,,,,,,,,,,,,,,,,,97.3,105.6,-8.3,50.5,9.0,
,,,,,,,,,,,,,,,,,121.7,115.0,6.8,97.8,15.7,
,,,,,,,,,,,,,,,,,103.6,106.5,-2.9,96.6,15.1,
,,,,,,,,,,,,,,,,,110.2,105.6,4.6,142.8,16.9,
,,,,,,,,,,,,,,,,,109.0,101.0,8.0,135.6,14.6,
,,,,,,,,,,,,,,,,,119.3,110.0,9.3,165.9,14.9,
,,,,,,,,,,,,,,,,,112.0,102.5,9.5,136.9,17.3,
,,,,,,,,,,,,,,,,,100.4,115.4,-15.0,66.5,12.4,
,,,,,,,,,,,,,,,,,103.9,106.6,-2.6,101.9,16.4,
,,,,,,,,,,,,,,,,,84.7,106.1,-21.4,47.1,9.7,
,,,,,,,,,,,,,,,,,125.7,102.3,23.4,128.1,21.7,
,,,,,,,,,,,,,,,,,110.1,104.7,5.4,146.5,19.9,
,,,,,,,,,,,,,,,,,118.5,99.9,18.6,131.9,20.3,
,,,,,,,,,,,,,,,,,96.6,112.4,-15.8,45.1,10.2,
,,,,,,,,,,,,,,,,,105.3,111.4,-6.1,48.2,10.8,
,,,,,,,,,,,,,,,,,93.6,107.3,-13.7,60.6,11.3,
,,,,,,,,,,,,,,,,,113.9,108.4,5.4,125.2,18.2,
,,,,,,,,,,,,,,,,,111.8,108.0,3.9,94.4,16.3,
,,,,,,,,,,,,,,,,,107.9,106.1,1.9,134.9,18.7,
,,,,,,,,,,,,,,,,,96.1,101.8,-5.7,79.9,10.0,
,,,,,,,,,,,,,,,,,109.4,96.3,13.1,86.8,20.5,
,,,,,,,,,,,,,,,,,121.2,111.1,10.1,221.9,22.9,
,,,,,,,,,,,,,,,,,93.0,96.9,-3.9,114.4,12.6,
,,,,,,,,,,,,,,,,,104.3,106.0,-1.7,133.9,17.1,
,,,,,,,,,,,,,,,,,80.5,104.5,-24.0,31.9,6.7,
,,,,,,,,,,,,,,,,,90.8,125.7,-34.8,9.5,8.7,
,,,,,,,,,,,,,,,,,109.6,100.8,8.8,143.1,20.2,
,,,,,,,,,,,,,,,,,96.4,106.6,-10.2,86.9,11.2,
